,count_of_sizes,colors,product_code,quality,n_reviews,star_rating
219,9,"['Puma White-Marshmallow-Purple Charcoal', 'PUMA White-Lavender Fog-Anise Flower', 'PUMA White-Spring Lavender', 'PUMA White-Peach Smoothie']",386270_14,75.0,5,4.2
220,11,['Vine-Pristine'],391570_01,100.0,3,4.7
221,10,['Dusty Tan-Granola-PUMA White'],393402_03,,0,0.0
222,11,['Platinum Gray-Platinum Gray'],389161_01,100.0,1,5.0
223,11,['Green Fog-PUMA White-Sand Dune'],396113_01,100.0,7,4.9
224,11,"['Puma White-Marshmallow-Purple Charcoal', 'PUMA White-Lavender Fog-Anise Flower', 'PUMA White-Spring Lavender', 'PUMA White-Peach Smoothie']",386270_02,75.0,5,4.2
225,6,['Puma White-Nimbus Cloud-Fizzy Melon'],384433_02,,2,3.5
226,10,['PUMA White-Frosty Pink'],393077_01,0.0,2,4.0
227,9,['PUMA White'],389585_01,,4,5.0
228,12,['PUMA White-Parisian Night-Vine'],393340_01,,9,5.0
229,13,['Fizzy Light-Parisian Night-Blue Glimmer'],106898_01,,0,0.0
230,15,['PUMA White-Warm White'],393049_01,100.0,1,5.0
231,11,['Fast Yellow-PUMA Black'],377046_09,62.5,8,3.4
232,12,['Pastel Parchment-Peach Pink-Ocean Dive'],385517_02,,13,4.5
233,12,['Fiery Coral-Fizzy Light-Puma Black-Salmon'],107093_02,0.0,2,1.0
234,18,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Gray Violet-Puma White', 'Peacoat-Puma White', 'Honey Mustard-Puma White', 'Cabernet-Puma White', 'Steel Gray-Puma White', 'Puma Black-Puma Black', 'Malachite-PUMA White']",374915_01,80.8,421,4.2
235,15,['PUMA White'],379303_01,0.0,1,5.0
236,15,['Purple Glimmer-Green Gecko'],378916_01,71.2,72,4.2
237,18,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Gray Violet-Puma White', 'Peacoat-Puma White', 'Honey Mustard-Puma White', 'Cabernet-Puma White', 'Steel Gray-Puma White', 'Puma Black-Puma Black', 'Malachite-PUMA White']",374915_04,80.8,421,4.2
238,15,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Gray Violet-Puma White', 'Peacoat-Puma White', 'Honey Mustard-Puma White', 'Cabernet-Puma White', 'Steel Gray-Puma White', 'Puma Black-Puma Black', 'Malachite-PUMA White']",374915_12,80.8,421,4.2
239,18,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Gray Violet-Puma White', 'Peacoat-Puma White', 'Honey Mustard-Puma White', 'Cabernet-Puma White', 'Steel Gray-Puma White', 'Puma Black-Puma Black', 'Malachite-PUMA White']",374915_07,80.8,421,4.2
240,18,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Gray Violet-Puma White', 'Peacoat-Puma White', 'Honey Mustard-Puma White', 'Cabernet-Puma White', 'Steel Gray-Puma White', 'Puma Black-Puma Black', 'Malachite-PUMA White']",374915_02,80.8,421,4.2
241,19,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Gray Violet-Puma White', 'Peacoat-Puma White', 'Honey Mustard-Puma White', 'Cabernet-Puma White', 'Steel Gray-Puma White', 'Puma Black-Puma Black', 'Malachite-PUMA White']",374915_06,80.8,421,4.2
242,15,['Feather Gray-Lime Smash'],379235_01,42.9,7,3.0
243,15,['Fluro Green Pes-PUMA Green-Fluro Yellow Pes'],379233_01,80.0,26,4.0
244,13,"['PUMA Black-Stormy Slate-For All Time Red', 'For All Time Red-PUMA Black-Gray Fog', 'Club Navy-PUMA Black-Electric Lime']",379601_01,,1,5.0
245,13,"['Puma White-Silver', 'PUMA Black-PUMA Black']",376941_04,78.1,37,4.1
246,19,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Gray Violet-Puma White', 'Peacoat-Puma White', 'Honey Mustard-Puma White', 'Cabernet-Puma White', 'Steel Gray-Puma White', 'Puma Black-Puma Black', 'Malachite-PUMA White']",374915_05,80.8,421,4.2
247,13,"['PUMA Black-Stormy Slate-For All Time Red', 'For All Time Red-PUMA Black-Gray Fog', 'Club Navy-PUMA Black-Electric Lime']",379601_03,,1,5.0
248,13,"['Puma Black', 'PUMA Black-Ocean Tropic-Lime Pow', 'Lime Pow-PUMA Black-PUMA White']",376807_01,81.5,28,4.3
249,18,"['Ash Gray-For All Time Red-PUMA Black', 'Myrtle-Myrtle-PUMA Black']",387272_05,93.0,64,4.7
250,16,"['PUMA Black-Warm White-Gum', 'Speed Blue-Lime Pow-Gum', 'Lavender Alert-Burnt Red-Gum']",396403_01,100.0,2,5.0
251,17,"['Puma White-Puma Team Gold', 'Puma Black-Puma Team Gold']",366408_01,73.5,36,4.1
252,17,"['Alpine Snow-Alpine Snow', 'PUMA Black-PUMA Black']",392787_07,100.0,3,3.7
253,12,['Metallic Gold-Fiery Coral'],379223_01,55.6,10,4.9
254,13,['For All Time Red-Dark Orange-PUMA Black'],395542_01,,0,0.0
255,19,"['PUMA Black-PUMA White-Dark Coal', 'Reflex Blue C-PUMA White-Sedate Gray']",307936_02,92.9,16,4.8
256,19,"['Puma White-Puma White', 'Puma White-Puma Black', 'Puma Black-Puma Black']",374923_02,69.2,42,3.9
257,19,"['Puma White-Puma White', 'Puma White-Puma Black', 'Puma Black-Puma Black']",374923_01,69.2,42,3.9
258,11,"['Alpine Snow-Alpine Snow', 'PUMA Black-PUMA Black']",392787_04,100.0,3,3.7
259,14,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Gray Violet-Puma White', 'Peacoat-Puma White', 'Honey Mustard-Puma White', 'Cabernet-Puma White', 'Steel Gray-Puma White', 'Puma Black-Puma Black', 'Malachite-PUMA White']",374915_03,80.8,421,4.2
260,0,['Poison Pink-Fluro Orange Pes: out of stock'],379330_01,,0,0.0
261,13,"['Puma Black-Gum', 'Pebble-Gum']",381174_01,81.8,13,4.3
262,15,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Gray Violet-Puma White', 'Peacoat-Puma White', 'Honey Mustard-Puma White', 'Cabernet-Puma White', 'Steel Gray-Puma White', 'Puma Black-Puma Black', 'Malachite-PUMA White']",374915_89,80.8,421,4.2
263,13,"['Puma White', 'Puma Black']",380190_01,82.0,55,4.1
264,16,"['Puma Black-Gum', 'Pebble-Gum']",381174_02,81.8,13,4.3
265,18,"['Ash Gray-For All Time Red-PUMA Black', 'Myrtle-Myrtle-PUMA Black']",387272_04,93.0,64,4.7
266,17,['Warm White-Warm White'],394873_01,0.0,1,4.0
267,13,"['Inky Blue-Persian Blue', 'Cast Iron-PUMA Black']",393152_01,100.0,2,5.0
268,13,"['PUMA Black-Shadow Gray', 'PUMA White-Alpine Snow']",392718_01,,1,4.0
269,13,['Pumpkin Pie-Amber'],393260_01,,0,0.0
270,13,['PUMA Black-PUMA Silver-Yellow Blaze'],378453_01,100.0,1,5.0
271,13,['Puma White-Puma White'],387286_01,0.0,1,5.0
272,19,"['Puma White-Puma White', 'Puma White-Puma Black', 'Puma Black-Puma Black']",374923_03,69.2,42,3.9
273,18,"['PUMA Black-PUMA White-Dark Coal', 'Reflex Blue C-PUMA White-Sedate Gray']",307936_01,92.9,16,4.8
274,13,"['PUMA Black-Stormy Slate-For All Time Red', 'For All Time Red-PUMA Black-Gray Fog', 'Club Navy-PUMA Black-Electric Lime']",379601_02,,1,5.0
275,13,"['Puma Black-Harbor Mist-Cherry Tomato', 'Cherry Tomato-Puma Black', 'Puma Black-CASTLEROCK', 'PUMA Black-Cayenne-Wood Violet', 'PUMA White-Platinum Gray-Dark Night', 'PUMA Black-Gray Tile-Fast Yellow', 'PUMA Black', 'Myrtle-PUMA Black-Yellow Burst']",376151_19,78.6,18,4.2
276,18,['Sand Dune-Bold Blue-PUMA White'],307211_07,88.2,19,4.3
277,10,['Rosso Corsa-PUMA Black'],307997_01,,0,0.0
278,11,"['Puma White-Silver', 'PUMA Black-PUMA Black']",376941_12,78.1,37,4.1
279,18,"['Puma White-Puma Team Gold', 'Puma Black-Puma Team Gold']",366408_02,73.5,36,4.1
280,15,['PUMA White-PUMA Navy-PUMA Silver'],397418_01,,0,0.0
281,13,"['Puma Black-Harbor Mist-Cherry Tomato', 'Cherry Tomato-Puma Black', 'Puma Black-CASTLEROCK', 'PUMA Black-Cayenne-Wood Violet', 'PUMA White-Platinum Gray-Dark Night', 'PUMA Black-Gray Tile-Fast Yellow', 'PUMA Black', 'Myrtle-PUMA Black-Yellow Burst']",376151_04,78.6,18,4.2
282,19,['PUMA White-PUMA Black'],307999_01,,0,0.0
283,15,['PUMA Black-Dusty Green-Neon Sun'],307648_04,85.7,9,5.0
284,18,"['Puma White-Puma Team Gold', 'Puma White-Puma Black', 'Puma Black-Puma White', 'PUMA White-Malachite']",386759_01,42.9,7,3.3
285,13,"['Puma White-Puma Black-Puma Team Gold', 'Puma White-Puma New Navy-Puma Team Gold']",364669_02,80.0,47,4.2
286,17,"['Alpine Snow-Warm White', 'Icy Blue-Warm White']",393747_01,50.0,2,5.0
287,10,"['Puma Black-Puma White', 'Puma White-Puma Black', 'Peacoat-Puma White']",384139_02,100.0,4,5.0
288,19,"['Cobalt Glaze-Pelé Yellow', 'Pink Delight-PUMA Green']",393473_18,,0,0.0
289,12,"['PUMA White-PUMA Silver-Cherry Tomato', 'Cherry Tomato-PUMA Black']",380017_01,100.0,1,5.0
290,15,['Passionfruit-PUMA Green-Peach Fizz'],379908_07,,0,0.0
291,19,"['Alpine Snow-Chocolate Chip-Puma Team Gold', 'Granola-PUMA Black-Puma Team Gold']",393490_04,100.0,2,4.5
292,20,['PUMA White-PUMA Black-Vapor Gray'],397116_01,0.0,1,3.0
293,19,"['PUMA Black-PUMA White', 'Rosso Corsa-PUMA White']",307822_01,66.7,4,4.0
294,13,"['Club Navy', 'Dark Myrtle']",398352_02,100.0,4,5.0
295,19,['Rosso Corsa-Frosted Ivory'],307817_01,,0,0.0
296,19,['Sedate Gray-PUMA White'],396704_02,,0,0.0
297,19,"['Cobalt Glaze-Pelé Yellow', 'Pink Delight-PUMA Green']",393473_17,,0,0.0
298,20,"['PUMA Black-PUMA White-Fire Orchid', 'Persian Blue-Pro Green-Ultra Blue', 'Alpine Snow-Asphalt-Yellow Blaze']",107563_01,88.9,9,4.4
299,20,"['PUMA White-PUMA Black-Fire Orchid', 'PUMA Black-Asphalt', 'Ultra Blue-PUMA White-Pro Green', 'Yellow Blaze-PUMA White-PUMA Black']",107311_02,33.3,7,3.1
300,11,"['Puma White-Puma Black-Puma Team Gold', 'Puma White-Puma New Navy-Puma Team Gold']",364669_01,80.0,47,4.2
301,13,['PUMA White'],307784_02,,0,0.0
302,11,['Eucalyptus-PUMA Black-Neon Sun'],377858_06,60.0,5,3.6
303,12,"['PUMA White-PUMA Silver-Cherry Tomato', 'Cherry Tomato-PUMA Black']",380017_02,100.0,1,5.0
304,13,"['PUMA Black-Shadow Gray', 'Concrete Gray-Flat Dark Gray']",379139_03,,2,3.0
305,13,"['Puma Black-Harbor Mist-Cherry Tomato', 'Cherry Tomato-Puma Black', 'Puma Black-CASTLEROCK', 'PUMA Black-Cayenne-Wood Violet', 'PUMA White-Platinum Gray-Dark Night', 'PUMA Black-Gray Tile-Fast Yellow', 'PUMA Black', 'Myrtle-PUMA Black-Yellow Burst']",376151_01,78.6,18,4.2
306,19,"['Sugared Almond-Prairie Tan', 'PUMA Black-PUMA Black', 'PUMA White-Cobalt Glaze-PUMA Black']",389267_10,100.0,2,3.5
307,14,"['Alpine Snow-Warm White', 'Icy Blue-Warm White']",393747_02,50.0,2,5.0
308,13,"['Club Navy', 'Dark Myrtle']",398352_01,100.0,4,5.0
309,19,['PUMA White-PUMA Navy'],394687_01,,0,0.0
310,13,['Fall Foliage-Alpine Snow-Cool Light Gray'],394057_01,,0,0.0
311,13,"['PUMA Black', 'Ultra Blue-PUMA Black-PUMA Silver', 'Fire Orchid-PUMA Black-Ultra Blue', 'Yellow Burst-PUMA Black-PUMA Silver', 'Lime Pow-PUMA Black-PUMA White', 'PUMA White-Ocean Tropic-Lime Pow']",377757_11,77.4,32,4.3
312,19,"['Alpine Snow-Chocolate Chip-Puma Team Gold', 'Granola-PUMA Black-Puma Team Gold']",393490_03,100.0,2,4.5
313,13,"['PUMA Black-Shadow Gray', 'Concrete Gray-Flat Dark Gray']",379139_01,,2,3.0
314,12,"['For All Time Red-Ultra Blue', 'PUMA White-Ultra Blue']",195336_08,,0,0.0
315,13,"['PUMA Black-PUMA White', 'PUMA White-PUMA White']",307751_02,,0,0.0
316,13,['PUMA Black-Pop Red'],307986_01,,0,0.0
317,13,"['PUMA Black-Dark Coal', 'Inky Blue-PUMA Black-Neon Sun', 'Eucalyptus-Alpine Snow-PUMA Black', 'Neon Sun-PUMA Black', 'PUMA Black-Lime Pow-Active Red: out of stock']",377745_03,100.0,1,5.0
318,17,['PUMA Black-PUMA White'],307789_01,100.0,1,5.0
319,19,"['PUMA Black-PUMA White', 'PUMA White-PUMA White']",307751_01,,0,0.0
320,13,['Glacial Gray-PUMA Black'],393286_01,0.0,1,4.0
321,13,"['PUMA Black-Dark Coal', 'Inky Blue-PUMA Black-Neon Sun', 'Eucalyptus-Alpine Snow-PUMA Black', 'Neon Sun-PUMA Black', 'PUMA Black-Lime Pow-Active Red: out of stock']",377745_01,100.0,1,5.0
322,19,"['Sugared Almond-Prairie Tan', 'PUMA Black-PUMA Black', 'PUMA White-Cobalt Glaze-PUMA Black']",389267_17,100.0,2,3.5
323,19,['Cayenne Pepper-Astro Red'],393301_02,,0,0.0
324,13,"['Puma Black-Harbor Mist-Cherry Tomato', 'Cherry Tomato-Puma Black', 'Puma Black-CASTLEROCK', 'PUMA Black-Cayenne-Wood Violet', 'PUMA White-Platinum Gray-Dark Night', 'PUMA Black-Gray Tile-Fast Yellow', 'PUMA Black', 'Myrtle-PUMA Black-Yellow Burst']",376151_13,78.6,18,4.2
325,21,['PUMA Navy'],379886_01,,0,0.0
326,12,"['PUMA Black-Dark Coal', 'Inky Blue-PUMA Black-Neon Sun', 'Eucalyptus-Alpine Snow-PUMA Black', 'Neon Sun-PUMA Black', 'PUMA Black-Lime Pow-Active Red: out of stock']",377745_04,100.0,1,5.0
327,13,"['PUMA Black', 'Ultra Blue-PUMA Black-PUMA Silver', 'Fire Orchid-PUMA Black-Ultra Blue', 'Yellow Burst-PUMA Black-PUMA Silver', 'Lime Pow-PUMA Black-PUMA White', 'PUMA White-Ocean Tropic-Lime Pow']",377757_01,77.4,32,4.3
328,16,"['PUMA Black-PUMA White', 'Rosso Corsa-PUMA White']",307822_02,66.7,4,4.0
329,18,"['PUMA White-PUMA Black', 'PUMA Black-PUMA White', 'Warm White-Yellow Burst-Parakeet Green']",390932_02,,1,5.0
330,19,"['PUMA White-Sedate Gray', 'PUMA Black-Strong Gray', 'Smokey Gray-Ash Gray']",392982_01,100.0,2,5.0
331,12,['PUMA White-PUMA Silver-Cherry Tomato'],379068_04,100.0,1,5.0
332,13,['Feather Gray-Warm White'],393151_01,,0,0.0
333,13,['Frosted Ivory-Granola'],392721_01,,0,0.0
334,13,['Day Dream-Yellow Sizzle-Dark Night'],395121_01,100.0,1,5.0
335,17,"['Light Mint-PUMA Black-PUMA White', 'PUMA Black-Light Mint-PUMA White']",307920_02,75.0,4,5.0
336,9,"['Puma Black-Puma White', 'Puma White-Puma Black', 'Peacoat-Puma White']",384139_04,100.0,4,5.0
337,13,['PUMA Black'],392862_01,0.0,1,5.0
338,13,['PUMA Black-Spectra Green'],307847_01,,0,0.0
339,19,['Rosso Corsa-Frosted Ivory'],307998_01,,0,0.0
340,13,"['Puma Black-Harbor Mist-Cherry Tomato', 'Cherry Tomato-Puma Black', 'Puma Black-CASTLEROCK', 'PUMA Black-Cayenne-Wood Violet', 'PUMA White-Platinum Gray-Dark Night', 'PUMA Black-Gray Tile-Fast Yellow', 'PUMA Black', 'Myrtle-PUMA Black-Yellow Burst']",376151_02,78.6,18,4.2
341,13,"['Sand Dune-Concrete Gray-Warm White', 'Sand Dune-Concrete Gray-Granola']",393306_02,,0,0.0
342,19,['Chocolate Chip-Flaxen'],393449_02,,0,0.0
343,13,['PUMA Black-Malachite-Yellow Burst'],378472_01,,0,0.0
344,13,['PUMA Black-Astro Red-Alpine Snow'],378457_01,,0,0.0
345,13,"['PUMA Black-PUMA White', 'Eucalyptus-PUMA Black', 'PUMA White-Club Navy']",378687_02,66.7,3,5.0
346,12,"['For All Time Red-Ultra Blue', 'PUMA White-Ultra Blue']",195336_09,,0,0.0
347,13,['Amber-PUMA Black-Puma White'],307791_01,,0,0.0
348,13,"['Sand Dune-Concrete Gray-Warm White', 'Sand Dune-Concrete Gray-Granola']",393306_01,,0,0.0
349,19,['Sedate Gray-Pinktastic'],393078_01,0.0,1,4.0
350,13,"['Puma White-Puma Team Gold', 'Puma White-Puma Black', 'Puma Black-Puma White', 'PUMA White-Malachite']",386759_10,42.9,7,3.3
351,12,"['PUMA Black-Shadow Gray', 'PUMA White-Alpine Snow']",392718_04,0.0,1,4.0
352,19,['PUMA Black-Frosted Ivory'],393115_02,,1,5.0
353,13,"['Puma Black-Harbor Mist-Cherry Tomato', 'Cherry Tomato-Puma Black', 'Puma Black-CASTLEROCK', 'PUMA Black-Cayenne-Wood Violet', 'PUMA White-Platinum Gray-Dark Night', 'PUMA Black-Gray Tile-Fast Yellow', 'PUMA Black', 'Myrtle-PUMA Black-Yellow Burst']",376151_22,78.6,18,4.2
354,13,['Smokey Gray-Cool Light Gray'],394798_01,,0,0.0
355,12,"['PUMA White-PUMA Black', 'PUMA Black-PUMA White', 'Warm White-Yellow Burst-Parakeet Green']",390932_01,,1,5.0
356,13,['Warm White-Club Navy'],395773_02,,0,0.0
357,15,['PUMA Black-PUMA White-Lime Squeeze'],378541_02,100.0,2,3.0
358,12,['Dusty Tan'],378434_02,,1,2.0
359,19,"['PUMA Black-Warm White', 'Rosso Corsa-Warm White']",307826_02,,0,0.0
360,13,"['PUMA Black-Dark Coal', 'Neon Sun-Clementine-PUMA Black']",307684_01,,0,0.0
361,11,['Ultra Blue-Luminous Pink-Luminous Blue'],107553_01,,0,0.0
362,12,['PUMA Black-PUMA Silver'],378474_01,100.0,1,5.0
363,19,"['PUMA Black-Warm White', 'Rosso Corsa-Warm White']",307826_01,,0,0.0
364,19,['PUMA White'],393114_01,,0,0.0
365,19,"['Sugared Almond-Prairie Tan', 'PUMA Black-PUMA Black', 'PUMA White-Cobalt Glaze-PUMA Black']",389267_19,100.0,2,3.5
366,12,"['PUMA Black', 'Ultra Blue-PUMA Black-PUMA Silver', 'Fire Orchid-PUMA Black-Ultra Blue', 'Yellow Burst-PUMA Black-PUMA Silver', 'Lime Pow-PUMA Black-PUMA White', 'PUMA White-Ocean Tropic-Lime Pow']",377757_15,77.4,32,4.3
367,15,"['Bold Blue-Dark Clove-Pro Green-Fire Orchid-Koral Ice', 'Lime Squeeze-PUMA White']",379079_05,57.1,7,4.6
368,13,"['Inky Blue-Persian Blue', 'Cast Iron-PUMA Black']",393152_02,100.0,2,5.0
369,12,"['PUMA Black-PUMA White', 'PUMA White-Inky Blue']",389365_06,,0,0.0
370,13,"['PUMA Black-Dark Coal', 'PUMA Black-Yellow Burst-Malachite']",378734_02,,0,0.0
371,17,['PUMA White-Vivid Violet'],107473_01,,0,0.0
372,0,['Turquoise Surf-Grape Mist: out of stock'],395737_02,,0,0.0
373,13,['PUMA White-Olive Drab'],393277_02,,0,0.0
374,12,['Pristine-Elektro Purple'],386329_06,75.0,5,4.6
375,13,['PUMA White-Flaxen-Apple Cider'],393136_01,,0,0.0
376,13,"['PUMA Black-Dark Coal', 'Inky Blue-PUMA Black-Neon Sun', 'Eucalyptus-Alpine Snow-PUMA Black', 'Neon Sun-PUMA Black', 'PUMA Black-Lime Pow-Active Red: out of stock']",377745_05,100.0,1,5.0
377,19,['PUMA Black-Frosted Ivory'],393115_02,,1,5.0
378,15,"['Bold Blue-Dark Clove-Pro Green-Fire Orchid-Koral Ice', 'Lime Squeeze-PUMA White']",379079_03,57.1,7,4.6
379,13,['PUMA Black-PUMA Red'],396127_01,,0,0.0
380,10,['Ultra Blue-Jet Black'],307756_01,,0,0.0
381,13,['Dark Night-Royal Sapphire'],379291_01,0.0,1,3.0
382,12,"['PUMA Black-PUMA White', 'PUMA White-Inky Blue']",389365_05,,0,0.0
383,13,['Speed Green-PUMA Silver-PUMA Black'],378455_07,50.0,2,3.0
384,13,"['Icy Blue-Icy Blue', 'Feather Gray-Feather Gray']",393941_01,,0,0.0
385,13,"['Warm White-Granola', 'Warm White-Parisian Night']",394799_03,,0,0.0
386,12,['PUMA Black-Dark Coal'],307771_01,100.0,1,5.0
387,15,['PUMA White-Fire Orchid-Vivid Violet-Sedate Gray'],107474_01,,0,0.0
388,13,"['PUMA Black-Dark Coal', 'Neon Sun-Clementine-PUMA Black']",307684_04,,0,0.0
389,13,"['PUMA Black-PUMA White', 'Eucalyptus-PUMA Black', 'PUMA White-Club Navy']",378687_06,66.7,3,5.0
390,13,"['PUMA Black', 'Ultra Blue-PUMA Black-PUMA Silver', 'Fire Orchid-PUMA Black-Ultra Blue', 'Yellow Burst-PUMA Black-PUMA Silver', 'Lime Pow-PUMA Black-PUMA White', 'PUMA White-Ocean Tropic-Lime Pow']",377757_13,77.4,32,4.3
391,0,"['Pelé Yellow-Club Red: out of stock', 'Fresh Mint-Fast Pink', 'Vine-Clementine', 'Cobalt Glaze-PUMA White', 'Club Red-Club Navy: out of stock']",396463_01,66.7,4,4.3
392,13,['PUMA Black-Yellow Burst-Malachite'],378459_01,,0,0.0
393,0,"['Pelé Yellow-Club Red: out of stock', 'Fresh Mint-Fast Pink', 'Vine-Clementine', 'Cobalt Glaze-PUMA White', 'Club Red-Club Navy: out of stock']",396463_09,66.7,4,4.3
394,19,"['PUMA White-Feather Gray', 'PUMA Black-Silver Mist']",397263_02,,0,0.0
395,13,"['PUMA Black', 'Ultra Blue-PUMA Black-PUMA Silver', 'Fire Orchid-PUMA Black-Ultra Blue', 'Yellow Burst-PUMA Black-PUMA Silver', 'Lime Pow-PUMA Black-PUMA White', 'PUMA White-Ocean Tropic-Lime Pow']",377757_19,77.4,32,4.3
396,13,"['Warm White-Granola', 'Warm White-Parisian Night']",394799_02,,0,0.0
397,19,"['PUMA White-Feather Gray', 'PUMA Black-Silver Mist']",397263_01,,0,0.0
398,13,"['PUMA Black', 'Ultra Blue-PUMA Black-PUMA Silver', 'Fire Orchid-PUMA Black-Ultra Blue', 'Yellow Burst-PUMA Black-PUMA Silver', 'Lime Pow-PUMA Black-PUMA White', 'PUMA White-Ocean Tropic-Lime Pow']",377757_18,77.4,32,4.3
399,13,"['Puma Black', 'PUMA Black-Ocean Tropic-Lime Pow', 'Lime Pow-PUMA Black-PUMA White']",376807_19,81.5,28,4.3
400,13,"['Puma Black', 'PUMA Black-Ocean Tropic-Lime Pow', 'Lime Pow-PUMA Black-PUMA White']",376807_20,81.5,28,4.3
401,1,['Rosso Corsa-PUMA Black'],308181_01,,0,0.0
402,15,['PUMA White-Pristine'],392086_01,,0,0.0
403,0,"['PUMA Black-Dark Coal', 'Inky Blue-PUMA Black-Neon Sun', 'Eucalyptus-Alpine Snow-PUMA Black', 'Neon Sun-PUMA Black', 'PUMA Black-Lime Pow-Active Red: out of stock']",377745_06,100.0,1,5.0
404,1,['PUMA Black-PUMA White'],308271_01,,1,3.0
